iter	RMSE
160	44511.15198
161	44487.3977
162	44476.18661
163	44460.69422
164	44436.7676
165	44423.04008
166	44418.65844
167	44405.57539
168	44385.28059
169	44370.35782
170	44356.42119
171	44346.72456
172	44323.93003
173	44297.19654
174	44282.7654
175	44272.14426
176	44258.59588
177	44256.40438
178	44243.09305
179	44228.6725
180	44217.28693
181	44203.16901
182	44185.83696
183	44169.0894
184	44140.21251
185	44138.3369
186	44130.7546
187	44119.21478
188	44103.50344
189	44093.66932
190	44084.92197
191	44076.37529
192	44061.26188
193	44042.54586
194	44038.37288
195	44026.42389
196	44012.80221
197	44001.23076
198	43983.22121
199	43974.80616
200	43960.82187
201	43952.25716
202	43946.19264
203	43934.73993
204	43932.05482
205	43920.6468
206	43912.29186
207	43899.14508
208	43887.37921
209	43875.83053
210	43864.56994
211	43851.10254
212	43840.23551
213	43825.67663
214	43816.36423
215	43815.23481
216	43808.24895
217	43800.36427
218	43789.30954
219	43780.56946
220	43769.1174
221	43753.79471
222	43741.2276
223	43727.96726
224	43705.73677
225	43695.33599
226	43682.44135
227	43671.71276
228	43664.88257
229	43663.98434
230	43650.24284
231	43637.57496
232	43622.01364
233	43609.45789
234	43603.09091
235	43599.77773
236	43592.72318
237	43581.76439
238	43575.29746
239	43569.63997
240	43558.79992
241	43552.20844
242	43542.95926
243	43533.03291
244	43521.77004
245	43512.42402
246	43507.48603
247	43499.11187
248	43489.41757
249	43484.37718
250	43476.70642
251	43469.9164
252	43464.24486
253	43454.85963
254	43454.24188
255	43448.36871
256	43441.15184
257	43437.06219
258	43429.37331
259	43422.57415
260	43415.994
261	43411.07577
262	43409.63418
263	43406.2545
264	43399.19203
265	43391.56052
266	43381.12536
267	43375.65283
268	43366.75848
269	43360.65916
270	43352.94345
271	43343.20674
272	43332.53039
273	43328.51235
274	43323.71599
275	43322.53021
276	43310.34514
277	43294.6259
278	43287.03812
279	43281.74239
280	43275.39021
281	43269.90169
282	43264.2247
283	43261.12713
284	43258.20794
285	43250.43659
286	43246.26543
287	43240.47261
288	43230.62763
289	43221.65905
290	43216.57674
291	43207.57049
292	43197.47302
293	43194.96799
294	43185.32968
295	43180.70386
296	43174.65896
297	43168.59208
298	43160.588
299	43143.17997
300	43138.78394
301	43136.04036
302	43132.05914
303	43127.76597
304	43123.52396
305	43117.22862
306	43108.42854
307	43104.23327
308	43100.23556
309	43094.44327
310	43087.52583
311	43082.56918
312	43072.77989
313	43065.1534
314	43057.99482
315	43052.96274
316	43048.93232
317	43045.44931
318	43041.98034
319	43035.74086
320	43028.51726
321	43023.50556
322	43016.86721
323	43011.52092
324	42998.3599
325	42991.35993
326	42984.562
327	42981.08147
328	42977.23974
329	42972.23089
330	42968.58826
331	42966.11688
332	42964.15885
333	42959.891
334	42952.54464
335	42948.93849
336	42945.98586
337	42943.09014
338	42935.47136
339	42930.99602
340	42924.2387
341	42921.1483
342	42917.88376
343	42914.66152
344	42911.50567
345	42898.25924
346	42894.99895
347	42889.96763
348	42887.00773
349	42880.06289
350	42879.75995
351	42876.60098
352	42873.09833
353	42870.05492
354	42867.91913
355	42864.85335
356	42862.48184
357	42857.56543
358	42855.12673
359	42850.52256
360	42844.7443
361	42842.80397
362	42840.17466
363	42838.941
364	42833.08071
365	42826.93212
366	42823.52149
367	42818.87533
368	42808.09448
369	42805.84564
370	42801.23099
371	42798.29912
372	42797.8826
373	42794.49243
374	42792.99077
375	42790.21786
376	42788.4426
377	42785.41899
378	42782.10357
379	42778.43946
380	42774.74613
381	42770.79594
382	42765.75946
383	42763.95068
384	42759.37375
385	42750.72292
386	42748.59002
387	42742.8954
388	42739.45067
389	42731.95725
390	42723.66153
391	42717.9815
392	42715.44311
393	42708.0324
394	42705.46743
395	42702.48477
396	42700.34483
397	42698.22885
398	42693.99187
399	42691.77429
400	42690.37634
401	42685.11272
402	42682.84031
403	42681.66779
404	42680.33583
405	42671.59359
406	42667.55109
407	42665.21348
408	42662.14257
409	42659.70397
410	42658.7872
411	42656.21504
412	42653.65715
413	42650.31583
414	42649.10868
415	42647.31846
416	42644.70403
417	42642.85826
418	42638.68617
419	42636.44883
420	42635.48827
421	42633.76656
422	42630.41949
423	42629.05512
424	42628.86329
425	42620.1142
426	42612.00952
427	42609.83051
428	42606.35246
429	42604.48928
430	42602.96231
431	42598.67672
432	42596.62709
433	42595.72371
434	42594.71893
435	42589.56532
436	42587.08775
437	42585.49127
438	42579.86209
439	42575.71205
440	42571.77997
441	42570.70136
442	42564.16086
443	42562.75771
444	42559.46359
445	42558.15262
446	42554.8873
447	42550.55479
448	42548.11737
449	42544.62177
450	42543.42768
451	42540.50688
452	42538.81333
453	42537.26868
454	42531.61566
455	42530.16768
456	42528.6765
457	42525.61333
458	42524.3281
459	42523.68837
460	42521.82764
461	42521.02015
462	42513.98601
463	42512.12504
464	42511.1342
465	42509.28963
466	42505.90985
467	42504.61297
468	42503.29158
469	42499.26559
470	42493.70441
471	42487.42786
472	42486.81028
473	42485.12904
474	42483.31631
475	42481.5755
476	42479.11823
477	42476.61196
478	42475.50728
479	42472.72851
480	42472.12974
481	42467.04812
482	42464.52816
483	42460.85525
484	42459.19311
485	42457.62902
486	42456.42027
487	42455.38178
488	42453.93676
489	42452.93857
490	42449.34067
491	42447.55263
492	42446.3365
493	42446.20077
494	42444.47554
495	42435.35737
496	42434.00141
497	42432.86386
498	42431.66501
499	42429.92285
500	42428.31838
501	42428.26543
502	42427.10577
503	42425.91178
504	42422.75732
505	42420.01841
506	42413.97504
507	42410.60241
508	42408.40981
509	42403.62785
510	42397.23369
511	42395.87443
512	42395.02859
513	42393.59317
514	42386.7731
515	42385.19135
516	42383.50639
517	42381.34125
518	42380.62238
519	42375.23453
520	42369.46694
521	42367.42102
522	42365.17492
523	42363.93756
524	42358.15648
525	42356.9769
526	42355.18965
527	42354.09089
528	42351.69441
529	42351.3356
530	42344.96555
531	42342.88281
532	42342.39501
533	42341.46114
534	42341.42511
535	42339.80509
536	42338.99674
537	42338.15401
538	42337.07846
539	42334.35689
540	42332.91491
541	42332.16785
542	42331.05304
543	42329.8875
544	42329.15826
545	42328.43765
546	42322.68328
547	42321.96798
548	42321.45711
549	42319.84427
550	42318.2154
551	42316.27141
552	42315.85836
553	42315.3028
554	42314.35257
555	42314.00381
556	42312.78195
557	42310.23735
558	42309.70579
559	42309.64769
560	42307.2451
561	42304.40082
562	42302.58606
563	42301.55125
564	42301.11744
565	42298.96413
566	42298.32085
567	42297.39401
568	42292.11801
569	42290.14377
570	42287.43689
571	42285.32829
572	42283.97232
573	42282.55383
574	42281.92243
575	42281.9005
576	42279.87438
577	42278.06347
578	42275.97025
579	42274.44646
580	42273.25128
581	42271.77364
582	42270.94367
583	42267.62508
584	42266.32963
585	42265.80479
586	42264.36624
587	42264.01586
588	42261.44848
589	42254.5147
590	42249.93679
591	42245.85105
592	42245.33777
593	42242.93286
594	42242.25775
595	42239.8457
596	42237.48204
597	42236.84628
598	42236.14804
599	42234.54213
600	42232.81584
601	42230.97551
602	42226.16455
603	42224.45664
604	42218.0772
605	42217.16958
606	42216.787
607	42214.57258
608	42213.55368
609	42212.72259
610	42211.91967
611	42209.66355
612	42207.9193
613	42207.27787
614	42206.75693
615	42203.45055
616	42202.8552
617	42202.38081
618	42201.76638
619	42197.52722
620	42193.88744
621	42192.81146
622	42192.16461
623	42188.72709
624	42184.86107
625	42182.31013
626	42176.93327
627	42176.25812
628	42175.12811
629	42174.29966
630	42170.80845
631	42170.42774
632	42169.70044
633	42168.45215
634	42168.31428
635	42167.16063
636	42166.94387
637	42166.19477
638	42165.88881
639	42165.23964
640	42164.60494
641	42162.43277
642	42160.42082
643	42159.45877
644	42158.43518
645	42158.25114
646	42157.94373
647	42157.46497
648	42156.84645
649	42156.10461
650	42155.48399
651	42151.87755
652	42148.10539
653	42147.75144
654	42147.2336
655	42146.81596
656	42146.0156
657	42145.31066
658	42143.77217
659	42142.71277
660	42139.38095
661	42139.03886
662	42138.56362
663	42138.07903
664	42136.02238
665	42130.84784
666	42128.91292
667	42128.42051
668	42127.442
669	42125.42933
670	42123.18798
671	42122.0904
672	42121.51075
673	42119.54026
674	42119.07738
675	42118.01099
676	42117.58144
677	42117.46582
678	42116.54707
679	42114.82504
680	42114.19358
681	42113.19126
682	42112.85331
683	42112.38179
684	42111.72404
685	42106.51452
686	42106.05303
687	42103.80792
688	42099.15226
689	42097.77963
690	42097.60922
691	42096.91303
692	42094.04533
693	42093.12112
694	42092.80094
695	42088.21704
696	42087.68165
697	42083.86176
698	42082.51389
699	42080.52205
700	42080.00258
701	42075.69113
702	42074.69281
703	42072.88973
704	42072.21405
705	42070.91714
706	42070.57645
707	42069.99677
708	42069.30412
709	42069.0822
710	42068.76989
711	42065.75738
712	42064.99246
713	42064.62376
714	42063.71961
715	42063.38433
716	42063.08905
717	42061.48642
718	42059.75226
719	42058.9289
720	42057.64963
721	42056.07272
722	42055.37299
723	42054.82986
724	42053.96118
725	42052.56828
726	42052.28361
727	42051.40731
728	42051.05685
729	42050.24476
730	42049.91272
731	42048.54347
732	42045.99457
733	42043.39324
734	42039.23946
735	42038.56444
736	42036.15518
737	42035.81669
738	42033.64671
739	42033.13426
740	42031.62753
741	42028.8627
742	42027.23213
743	42026.74084
744	42026.52049
745	42026.4098
746	42025.26385
747	42024.54739
748	42024.21665
749	42020.76501
750	42020.53748
751	42018.99161
752	42018.6947
753	42016.71933
754	42016.38811
755	42014.90482
756	42014.49555
757	42014.17932
758	42013.03172
759	42012.60939
760	42012.27957
761	42011.81975
762	42011.37104
763	42009.01619
764	42008.7982
765	42007.2247
766	42004.92828
767	42002.84437
768	42001.52143
769	42001.20085
770	42000.43508
771	41999.11947
772	41998.1513
773	41996.75747
774	41994.83536
775	41994.33116
776	41994.23598
777	41993.87269
778	41992.3579
779	41992.05973
780	41991.64272
781	41991.33228
782	41990.50891
783	41987.57648
784	41986.78951
785	41984.55175
786	41984.28394
787	41984.03195
788	41983.49428
789	41982.46419
790	41982.38056
791	41981.37644
792	41980.56663
793	41978.47186
794	41978.23934
795	41977.12204
796	41975.94625
797	41975.26658
798	41974.70497
799	41974.52206
800	41974.1708
801	41973.60867
802	41973.06651
803	41971.05357
804	41970.31625
805	41970.19363
806	41968.8269
807	41967.9714
808	41965.93634
809	41964.81837
810	41964.03408
811	41963.25089
812	41962.50663
813	41961.47858
814	41958.4894
815	41957.99829
816	41955.98508
817	41955.32554
818	41955.10753
819	41954.70502
820	41953.58858
821	41952.93828
822	41952.38303
823	41951.41837
824	41950.84306
825	41946.25883
826	41945.25493
827	41945.05511
828	41944.47133
829	41944.16585
830	41943.74357
831	41943.41485
832	41939.0428
833	41936.89999
834	41934.20348
835	41933.95567
836	41933.7585
837	41933.30504
838	41932.74422
839	41932.40437
840	41932.15822
841	41931.82095
842	41930.93487
843	41930.6507
844	41928.49399
845	41927.91068
846	41927.15715
847	41926.35108
848	41924.71136
849	41924.49233
850	41924.16306
851	41923.90976
852	41923.66487
853	41922.94539
854	41921.30774
855	41920.32346
856	41920.06383
857	41919.57263
858	41919.18488
859	41918.69807
860	41918.13266
861	41917.19577
862	41916.90339
863	41916.69848
864	41916.44356
865	41916.13113
866	41915.20109
867	41914.89338
868	41913.17252
869	41912.39215
870	41912.19716
871	41909.69122
872	41909.39794
873	41909.01272
874	41908.83019
875	41908.21643
876	41908.03104
877	41907.61375
878	41906.99364
879	41906.81544
880	41906.20348
881	41905.70295
882	41904.87402
883	41904.60823
884	41903.65265
885	41903.54492
886	41903.44148
887	41903.14435
888	41902.89794
889	41902.77741
890	41902.27013
891	41900.42495
892	41900.22809
893	41899.10502
894	41898.78758
895	41898.41214
896	41898.25121
897	41898.08668
898	41897.6139
899	41897.23239
900	41896.67253
901	41896.50784
902	41895.15156
903	41893.6309
904	41893.63073
905	41893.39085
906	41892.71744
907	41889.25111
908	41888.83712
909	41888.60866
910	41887.16498
911	41885.77692
912	41884.85956
913	41884.06951
914	41882.45932
915	41881.91798
916	41881.70185
917	41881.47657
918	41879.8537
919	41879.45302
920	41878.04011
921	41877.61328
922	41876.40266
923	41875.08749
924	41873.49518
925	41871.58572
926	41871.49174
927	41871.17543
928	41871.09166
929	41870.96524
930	41870.56499
931	41869.79845
932	41869.59296
933	41868.77804
934	41868.16056
935	41867.8798
936	41866.86608
937	41865.57195
938	41865.44922
939	41864.66165
940	41864.28139
941	41864.06236
942	41863.5538
943	41862.48226
944	41862.1196
945	41861.76001
946	41861.25162
947	41860.99332
948	41860.35156
949	41859.26852
950	41858.71892
951	41858.38017
952	41857.35406
953	41857.01778
954	41856.80903
955	41856.07907
956	41855.97082
957	41855.91498
958	41855.48169
959	41854.80462
960	41852.01356
961	41850.8973
962	41850.3749
963	41850.2679
964	41850.15157
965	41849.74653
966	41849.38126
967	41848.89319
968	41848.64024
969	41848.5233
970	41848.40486
971	41848.33527
972	41848.0156
973	41847.76091
974	41846.91069
975	41846.57136
976	41846.50992
977	41845.26345
978	41844.91519
979	41844.30014
980	41844.1487
981	41843.52991
982	41841.78754
983	41840.46488
984	41840.16596
985	41839.98453
986	41839.92978
987	41839.39556
988	41839.30103
989	41838.01862
990	41837.49082
991	41836.97302
992	41836.50312
993	41836.00489
994	41835.95287
995	41835.44865
996	41835.4062
997	41833.77797
998	41833.14433
999	41832.75209
